Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Pledged percentage
Keerthi Indus,518011,,INE145L01012,Cement & Cement Products,Cement & Cement Products,40.00,,32.08,0.00,-7.14,-151.41,19.11,-37.51,-25.11,-13.80,-23.24,6.06,202606.00,-24.99,-8.91,,44.65
Khaitan (India),590068,KHAITANLTD,INE731C01018,Consumer Durables,Consumer Electronics,158.34,10.81,75.20,0.00,2.44,56.41,41.45,39.75,20.10,41.11,7.74,29.71,202606.00,14.65,5.14,120.06,32.85
Khemani Distrib.,539788,,INE030U01025,Retailing,Distributors,113.65,,261.10,0.00,-22.41,-325.68,18.14,-64.45,-26.14,-24.12,-348.21,-299.08,202603.00,-5.64,-9.75,,30.19
Kirl. Electric,533193,KECL,INE134B01017,Electrical Equipment,Other Electrical Equipment,118.90,51.48,789.68,0.00,-5.99,-1526.19,103.85,-21.47,14.59,3.38,298.70,109.25,202606.00,1.12,-0.90,-28.99,75.33
KPI Green Energy,542323,KPIGREEN,INE542W01025,Power,Power Generation,277.90,12.10,5493.28,0.32,94.63,-17.64,693.84,15.08,13.85,40.01,27.27,56.54,202606.00,23.19,4.33,52.59,44.74
Lactose (India),524202,,INE058I01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,99.90,18.13,125.77,0.00,2.37,58.00,46.97,18.67,11.29,34.91,58.09,22.38,202606.00,5.51,1.88,72.04,26.07
Lagnam Spintex,,LAGNAM,INE548Z01017,Textiles & Apparels,Other Textile Products,72.80,7.01,128.62,0.00,5.89,198.98,165.86,18.39,10.07,7.69,38.29,8.81,202606.00,10.36,3.33,13.82,48.16
Lambodhara Text.,590075,LAMBODHARA,INE112F01022,Textiles & Apparels,Other Textile Products,137.05,11.46,142.23,0.37,3.57,65.28,53.88,-8.83,12.31,-1.05,75.42,10.74,202606.00,11.97,3.44,-13.84,39.28
LCC Infotech,532019,LCCINFOTEC,INE938A01021,Other Consumer Services,Education,3.02,,50.91,0.00,-0.12,20.00,0.00,-100.00,-1.88,-100.00,54.90,55.66,202606.00,-0.03,-0.01,12.53,58.23
Leela Palaces Hotels,544408,THELEELA,INE0AQ201015,Leisure Services,Hotels & Resorts,527.50,39.22,17616.26,0.00,48.76,456.44,351.96,28.08,8.73,19.10,240.90,21.50,202606.00,13.27,1.46,,73.65
Lotus Eye Hospit,532998,LOTUSEYE,INE947I01017,Healthcare Services,Hospital,110.95,1442.09,230.73,0.00,0.61,12.96,17.06,26.18,1.41,14.09,-75.38,49.54,202606.00,0.07,0.29,-73.03,87.15
Magellanic Cloud,538891,MCLOUD,INE613C01026,IT - Software,Computers - Software & Consulting,25.60,13.47,1508.00,0.12,23.70,-14.56,180.28,9.95,19.79,13.54,7.60,0.17,202606.00,1.87,0.40,15.76,46.76
Mangalam Alloys,,MAL,INE00C401011,Industrial Products,Iron & Steel Products,46.30,7.78,114.30,0.00,2.91,-76.55,219.13,-6.31,13.06,1.53,10.29,3.72,202603.00,5.95,1.18,21.65,54.25
Maral Overseas,521018,MARALOVER,INE882A01013,Textiles & Apparels,Other Textile Products,61.50,11.40,255.29,0.00,5.98,147.57,263.21,16.72,7.57,-0.30,173.80,206.57,202606.00,5.25,1.44,31.21,48.03
Max Financial,500271,MFSL,INE180A01020,Insurance,Life Insurance,1444.80,459.50,49862.18,0.00,118.29,36.38,14969.51,16.75,2.87,4.91,-60.13,-35.08,202606.00,3.18,2.77,-40.40,26.92
Medplus Health,543427,MEDPLUS,INE804L01022,Retailing,Pharmacy Retail,658.85,37.60,7915.23,0.00,33.17,-21.67,1879.60,21.84,12.56,16.79,18.02,16.37,202606.00,17.55,2.76,65.48,60.74
MEP Infrast.,539126,MEP,INE776I01010,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",0.66,,12.10,0.00,-604.90,-767.36,20.49,1.84,-401.21,-15.24,-431.30,-607.41,202403.00,-41.28,-32.97,,75.71
Mindspace Busine,543217,MINDSPACE,INE0CCU25019,Realty,Real Estate Investment Trusts (REITs),496.84,42.21,32890.51,2.38,271.81,67.10,946.44,27.85,7.64,25.85,53.92,31.74,202606.00,11.89,3.96,22.75,47.58
Money Masters,535910,,INE340O01021,Finance,Non Banking Financial Company (NBFC),0.63,11.70,6.32,0.00,0.06,-45.45,0.31,-3.12,3.42,-6.15,-15.62,-1.37,202606.00,0.05,0.01,-9.76,77.28
MOS Utility,,MOS,INE0N7S01028,Financial Technology (Fintech),Financial Technology (Fintech),5.70,8.11,146.75,0.00,4.36,2.21,151.09,-5.47,19.50,3.05,61.32,33.45,202606.00,0.70,0.16,62.16,42.12
Mphasis,526299,MPHASIS,INE356A01018,IT - Software,Computers - Software & Consulting,2378.80,23.49,45407.61,2.54,489.51,10.82,4384.05,17.46,22.09,13.69,11.32,12.42,202606.00,100.21,25.65,4.66,100.00
MSP Steel & Pow.,532650,MSPL,INE752G01015,Industrial Products,Iron & Steel Products,32.89,13.41,1864.21,0.00,21.98,23.21,826.52,16.27,9.69,4.03,905.49,36.78,202606.00,0.67,0.39,56.18,63.53
MT Educare,534312,MTEDUCARE,INE472M01018,Other Consumer Services,Education,1.74,,12.58,0.00,2.60,112.77,9.88,-23.41,2.10,-28.24,89.78,464.80,202603.00,-0.43,0.36,24.25,50.74
Nagarjuna Fert.,539917,NAGAFERT,INE454M01024,Fertilizers & Agrochemicals,Fertilizers,1.89,,113.03,0.00,-5.56,11.18,0.00,,,-103.89,57.16,65.10,202606.00,-0.25,-0.09,25.63,37.58
Nazara Technolo.,543280,NAZARA,INE418L01047,Entertainment,Digital Entertainment,358.60,,13762.88,0.00,-82.47,-249.49,428.77,-14.03,27.10,-6.07,-267.34,-180.04,202606.00,-1.42,-2.16,162.83,86.97
Nexus Select,543913,NXST,INE0NDH25011,Realty,Real Estate Investment Trusts (REITs),166.17,57.17,25174.77,1.43,156.52,30.89,680.53,10.91,5.83,12.33,-4.84,10.77,202606.00,2.91,1.03,,77.38
Nihar Info Glob.,531083,,INE876E01033,IT - Software,Software Products,6.27,17.18,6.52,0.00,0.00,-100.00,3.51,68.75,8.72,147.73,110.11,115.58,202606.00,0.37,0.00,81.71,26.90
Nisus Finance,544296,,INE0DQN01013,Finance,Holding Company,158.90,5.57,379.43,0.00,12.36,-30.20,184.99,551.37,32.00,754.94,126.36,224.21,202603.00,29.46,4.72,2.98,32.03
Nitco,532722,NITCO,INE858F01012,Consumer Durables,Ceramics,88.83,,2136.95,0.00,-10.33,-121.61,116.01,-22.77,7.16,28.75,86.76,-227.92,202606.00,-1.22,-0.43,27.50,67.13
Northern Spirits,542628,,INE01BL01012,Commercial Services & Supplies,Trading & Distributors,128.60,7.13,206.41,0.26,9.27,25.61,598.79,12.11,15.71,17.73,19.52,4.83,202606.00,18.08,5.78,34.60,44.80
Nuvama Wealth,543988,NUVAMA,INE531F01023,Capital Markets,Stockbroking & Allied,1679.80,28.56,30983.75,1.63,305.64,15.85,1376.22,22.59,17.49,12.80,5.22,9.45,202606.00,59.59,16.75,,62.80
OK Play India,526415,,INE870B01024,Consumer Durables,Leisure Products,3.25,33.72,117.96,0.00,0.09,-83.78,45.81,11.22,4.90,19.64,443.14,-11.80,202606.00,0.07,0.00,44.80,51.92
One Point One,544748,ONEPOINT,INE840Y01029,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),58.27,33.28,1532.16,0.00,16.31,72.78,158.32,129.42,10.88,52.41,31.61,55.20,202606.00,1.72,0.62,47.29,35.99
Onelife Capital,533632,ONELIFECAP,INE912L01015,Capital Markets,Stockbroking & Allied,33.50,13.04,125.13,0.03,3.89,829.41,7.20,747.06,11.41,213.79,142.80,84.57,202606.00,2.57,1.00,60.88,71.00
OneSource Speci.,544292,ONESOURCE,INE013P01021,Pharmaceuticals & Biotechnology,Pharmaceuticals,1612.00,,18485.29,0.00,25.00,1046.67,449.02,37.20,0.57,4.29,-141.74,-30.83,202606.00,-4.24,2.18,,37.23
