Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth,Profit growth,Operating profit growth,TTM Result Date,EPS,EPS latest quarter,EPS growth 3Years,Debt to equity,Interest Coverage Ratio
Arihant Super.,506194,ARIHANTSUP,INE643K01018,Realty,"Residential, Commercial Projects",215.50,23.35,932.03,0.11,9.78,-38.53,131.59,8.79,10.55,4.66,-41.81,-10.47,202606.00,9.23,2.26,0.88,2.41,1.80
Artson,522134,,INE133D01023,Industrial Manufacturing,Industrial Products,174.90,,645.73,0.00,-0.41,-286.36,26.13,-41.60,-14.60,8.73,-374.05,-386.62,202606.00,-3.12,-0.11,15.47,142.13,-1.26
Aruna Hotels,500016,,INE957C01019,Leisure Services,Hotels & Resorts,7.05,29.86,23.90,0.00,-1.31,-195.62,5.76,-2.87,12.36,3.44,-76.68,21.59,202606.00,0.24,-0.39,27.87,4.18,1.21
Asit C Mehta Fin,530723,,INE041B01014,Capital Markets,Stockbroking & Allied,102.05,,84.15,0.00,4.85,33.20,11.24,0.00,5.79,-13.68,71.78,80.43,202606.00,6.28,5.53,21.98,4.63,0.92
AU Small Finance,540611,AUBANK,INE949L01017,Banks,Other Bank,1031.70,27.15,77437.16,0.09,795.95,37.03,5302.74,21.11,7.66,17.32,30.77,24.30,202606.00,38.20,10.63,18.18,8.34,1.38
Avishkar Infra,508929,,INE433O01024,Realty,"Residential, Commercial Projects",567.20,,1270.71,0.00,-0.35,26.09,0.00,,2.34,-100.00,-168.69,-146.49,202606.00,-0.79,-0.15,,2.32,0.34
AWFIS Space,544181,AWFIS,INE108V01019,Commercial Services & Supplies,Diversified Commercial Services,273.55,23.10,1957.55,0.00,23.96,140.08,424.92,26.96,13.17,23.29,69.78,30.15,202606.00,11.86,3.35,,2.72,1.46
Axis Bank,532215,AXISBANK,INE238A01034,Banks,Private Sector Bank,1227.55,13.81,382166.37,0.08,7670.37,22.24,35541.96,9.87,6.24,5.58,-0.32,3.47,202606.00,89.39,24.54,34.13,7.47,1.45
Baazar Style,544243,STYLEBAAZA,INE01FR01028,Retailing,Speciality Retail,377.95,105.43,2876.85,0.00,2.23,12.63,486.38,28.86,7.57,34.94,59.50,35.60,202606.00,6.30,0.29,-8.17,2.21,1.39
Bajaj Finance,500034,BAJFINANCE,INE296A01032,Finance,Non Banking Financial Company (NBFC),1010.65,30.68,629226.02,0.52,6080.60,27.37,23165.45,18.65,10.87,17.85,17.53,17.01,202606.00,32.62,9.61,17.54,3.82,1.94
Bajaj Finserv,532978,BAJAJFINSV,INE918I01026,Finance,Holding Company,1863.20,29.01,298496.15,0.08,6296.67,12.31,42036.90,19.13,10.58,14.54,7.91,15.22,202606.00,63.43,19.57,15.52,5.52,1.99
Bajaj Hindusthan,500032,BAJAJHIND,INE306A01021,Agricultural Food & other Products,Sugar,19.75,36.40,4721.62,0.00,-184.76,-6.39,1125.97,-9.81,3.11,-1.93,197.97,15.92,202606.00,0.17,-0.77,36.80,6.36,1.95
Bajaj Housing,544252,BAJAJHFL,INE377Y01014,Finance,Housing Finance Company,83.15,25.64,69283.44,0.00,715.28,22.63,3063.02,17.10,8.85,16.29,19.39,16.14,202606.00,3.23,0.86,18.07,4.60,1.50
Bandhan Bank,541153,BANDHANBNK,INE545U01014,Banks,Private Sector Bank,173.70,20.70,27985.66,0.83,501.67,34.87,5630.55,2.83,6.41,-0.20,-34.11,-0.79,202606.00,8.40,3.11,-17.68,7.06,1.17
Bank of Baroda,532134,BANKBARODA,INE028A01039,Banks,Public Sector Bank,233.35,5.48,120673.81,3.62,1839.26,64.60,35114.52,6.84,5.63,4.91,13.52,7.66,202606.00,35.12,3.45,10.03,10.89,1.33
Bank of India,532149,BANKINDIA,INE084A01016,Banks,Public Sector Bank,137.65,5.25,62667.47,3.33,3303.98,49.81,20096.90,8.83,5.93,6.21,19.41,8.72,202606.00,25.87,7.25,37.09,11.83,1.30
